ID,Titolo,Generi,Punteggio Medio,Rank,Popolarità,Stato,Autori
2459,Komatta Toki ni wa Hoshi ni Kike,"Boys Love, Comedy, Drama, Shoujo",8.28,348,2669,finished,Miyuki Abe
6520,Hana to Akuma,"Fantasy, Historical, Mythology, Romance, Shoujo",8.28,349,409,finished,Hisamu Oto
9548,Higurashi no Naku Koro ni Kai: Minagoroshi-hen,"Drama, Horror, Mystery, Psychological",8.28,350,1789,finished," Ryukishi07, Hinase Momoyama"
106809,Koko wa Ima kara Rinri desu.,"Drama, School, Seinen",8.28,351,639,currently_publishing,Shiori Amase
26704,Shouwa Genroku Rakugo Shinjuu,"Adult Cast, Award Winning, Drama, Josei, Love Polygon, Performing Arts",8.28,352,2103,finished,Haruko Kumota
35573,Orange,"Drama, Love Polygon, Romance, School, Sci-Fi, Shoujo, Time Travel",8.28,354,73,finished,Ichigo Takano
47022,Sakamichi no Apollon: Bonus Track,"Drama, Historical, Josei, Music, Romance, Slice of Life",8.27,356,3271,finished,Yuki Kodama
57,Hanazakari no Kimitachi e,"Comedy, Crossdressing, Drama, Love Polygon, Romance, School, Shoujo",8.27,357,506,finished,Hisaya Nakajo
704,Trigun Maximum,"Action, Adult Cast, Adventure, Award Winning, Comedy, Drama, Sci-Fi, Seinen",8.27,358,601,finished,Yasuhiro Nightow
1047,Saint Seiya: The Lost Canvas - Meiou Shinwa,"Action, Adventure, Shounen",8.27,359,1175,finished,"Masami Kurumada, Shiori Teshirogi"
98379,Bungou Stray Dogs Wan!,"Comedy, Slice of Life, Supernatural",8.27,361,2901,currently_publishing,Neco Kanai
102343,Fumetsu no Anata e,"Adventure, Award Winning, Drama, Shounen, Supernatural",8.27,362,136,currently_publishing,Yoshitoki Ooima
5255,Dengeki Daisy,"Comedy, Drama, Romance, Shoujo",8.26,363,117,finished,Kyousuke Motomi
14790,Magi,"Adventure, Award Winning, Fantasy, Shounen",8.26,364,78,finished,Shinobu Ohtaka
15547,Kiichi VS,"Drama, Psychological, Seinen",8.26,365,7052,finished,Hideki Arai
17910,Yomawari Sensei,"Drama, Psychological, School, Seinen",8.26,366,1256,finished,"Osamu Mizutani, Seiki Tsuchida"
145496,Yuki no Yousei,Boys Love,8.26,367,4795,finished,Tomo Serizawa
119392,Boy Meets Maria,"Boys Love, Drama, School",8.26,368,670,finished,Kousei Eguchi
72025,Kengan Ashura,"Action, Martial Arts",8.26,369,278,finished," Daromeon, Yabako Sandrovich"
17904,Kuragehime,"Award Winning, Comedy, Crossdressing, Josei, Visual Arts",8.25,370,408,finished,Akiko Higashimura
91514,Kishuku Gakkou no Juliet,"Action, Comedy, Romance, School, Shounen",8.25,373,271,finished,Yousuke Kaneda
1009,Hachimitsu to Clover,"Award Winning, Comedy, Drama, Josei, Love Polygon, Romance, Slice of Life, Visual Arts",8.25,374,765,finished,Chica Umino
1097,Saiyuuki Gaiden,"Action, Adventure, Fantasy",8.25,375,1853,finished,Kazuya Minekura
1649,Liar Game,"Drama, High Stakes Game, Psychological, Seinen, Strategy Game",8.25,376,118,finished,Shinobu Kaitani
4258,Hikari to Tomo ni...: Jiheishouji wo Kakaete,"Award Winning, Childcare, Drama, Josei, Psychological, Slice of Life",8.25,377,3501,finished,Keiko Tobe
112807,Boku no Kokoro no Yabai Yatsu,"Comedy, Romance, School, Shounen",8.25,378,289,currently_publishing,Norio Sakurai
119022,Kage no Jitsuryokusha ni Naritakute!,"Action, Comedy, Fantasy, Isekai, Reincarnation",8.25,379,202,currently_publishing,"Anri Sakano, Daisuke Aizawa"
162733,Mairimashita! Iruma-kun: If Episode of Mafia,"Fantasy, Organized Crime, Shounen",8.25,380,7720,currently_publishing, hiroja
96044,Taishou Otome Otogibanashi,"Comedy, Historical, Romance, Shounen, Slice of Life",8.24,381,745,finished,Sana Kirioka
103989,Kaichou wa Maid-sama!: Marriage,"Comedy, Romance, School, Shoujo",8.24,382,1116,finished,Hiro Fujiwara
23571,Sunny,"Award Winning, Drama, Seinen",8.24,383,861,finished,Taiyou Matsumoto
39883,Ansatsu Kyoushitsu,"Action, Comedy, School, Shounen",8.24,384,75,finished,Yuusei Matsui
113138,Jujutsu Kaisen,"Action, School, Shounen, Supernatural",8.24,386,9,finished,Gege Akutami
375,Initial D,"Action, Drama, Racing, Seinen",8.24,388,594,finished,Shuuichi Shigeno
481,Planetes,"Adult Cast, Award Winning, Drama, Psychological, Sci-Fi, Seinen, Slice of Life, Space, Workplace",8.24,389,297,finished,Makoto Yukimura
3009,JoJo no Kimyou na Bouken Part 6: Stone Ocean,"Action, Adventure, Shounen",8.24,390,36,finished,Hirohiko Araki
4625,Kamigami no Itadaki,"Adventure, Award Winning, Drama, Mystery, Seinen, Sports",8.24,391,1199,finished,"Baku Yumemakura, Jiro Taniguchi"
